timestamp,adc_value,status_value
2025-07-15T00:30:40.064032,442,150
2025-07-15T00:30:40.164054,336,150
2025-07-15T00:30:40.263734,272,150
2025-07-15T00:30:40.363881,38,150
2025-07-15T00:30:40.463783,0,150
2025-07-15T00:30:40.563834,0,150
2025-07-15T00:30:40.664064,16,150
2025-07-15T00:30:40.763742,0,150
2025-07-15T00:30:40.863914,0,150
2025-07-15T00:30:40.963750,0,150
2025-07-15T00:30:41.063794,0,150
2025-07-15T00:30:41.164071,160,150
2025-07-15T00:30:41.263885,38,150
2025-07-15T00:30:41.363906,48,150
2025-07-15T00:30:41.463905,43,150
2025-07-15T00:30:41.563896,13,150
2025-07-15T00:30:41.663994,10,150
2025-07-15T00:30:41.763810,0,150
2025-07-15T00:30:41.863910,16,150
2025-07-15T00:30:41.963914,28,150
2025-07-15T00:30:42.063911,16,150
2025-07-15T00:30:42.163619,61,150
2025-07-15T00:30:42.263941,76,150
2025-07-15T00:30:42.363912,81,150
2025-07-15T00:30:42.463730,141,150
2025-07-15T00:30:42.563531,14,150
2025-07-15T00:30:42.663903,31,150
2025-07-15T00:30:42.763563,0,150
2025-07-15T00:30:42.863886,13,150
2025-07-15T00:30:42.963816,7,150
2025-07-15T00:30:43.063922,13,150
2025-07-15T00:30:43.163709,16,150
2025-07-15T00:30:43.263817,0,150
2025-07-15T00:30:43.363822,0,150
2025-07-15T00:30:43.463816,3,150
2025-07-15T00:30:43.563819,0,150
2025-07-15T00:30:43.663924,27,150
2025-07-15T00:30:43.764011,23,150
2025-07-15T00:30:43.863938,45,150
2025-07-15T00:30:43.963923,37,150
2025-07-15T00:30:44.063928,59,150
2025-07-15T00:30:44.163733,78,150
2025-07-15T00:30:44.263916,72,150
2025-07-15T00:30:44.364158,182,150
2025-07-15T00:30:44.464073,106,150
2025-07-15T00:30:44.563935,85,150
2025-07-15T00:30:44.663981,80,150
2025-07-15T00:30:44.763940,80,150
2025-07-15T00:30:44.863869,0,150
2025-07-15T00:30:44.963756,18,150
2025-07-15T00:30:45.063863,0,150
2025-07-15T00:30:45.163859,0,150
2025-07-15T00:30:45.263853,0,150
2025-07-15T00:30:45.363878,0,150
2025-07-15T00:30:45.463874,0,150
2025-07-15T00:30:45.563594,0,150
2025-07-15T00:30:45.664006,34,150
2025-07-15T00:30:45.764063,167,150
2025-07-15T00:30:45.864089,299,150
2025-07-15T00:30:45.963851,511,150
2025-07-15T00:30:46.064090,638,150
2025-07-15T00:30:46.163997,702,150
2025-07-15T00:30:46.264097,780,150
2025-07-15T00:30:46.364069,659,150
2025-07-15T00:30:46.464228,323,150
2025-07-15T00:30:46.563726,0,150
2025-07-15T00:30:46.663864,0,150
2025-07-15T00:30:46.763840,0,150
2025-07-15T00:30:46.863636,0,150
2025-07-15T00:30:46.963875,0,150
2025-07-15T00:30:47.063627,0,150
2025-07-15T00:30:47.163630,0,150
2025-07-15T00:30:47.263872,0,150
2025-07-15T00:30:47.363880,0,150
2025-07-15T00:30:47.463602,0,150
2025-07-15T00:30:47.563566,0,150
2025-07-15T00:30:47.663558,0,150
2025-07-15T00:30:47.763627,14,150
2025-07-15T00:30:47.863882,0,150
2025-07-15T00:30:47.964081,33,150
2025-07-15T00:30:48.064043,58,150
2025-07-15T00:30:48.164044,64,150
2025-07-15T00:30:48.263834,74,150
2025-07-15T00:30:48.364045,95,150
2025-07-15T00:30:48.464047,89,150
2025-07-15T00:30:48.564051,86,150
2025-07-15T00:30:48.664037,56,150
2025-07-15T00:30:48.763740,71,150
2025-07-15T00:30:48.863765,78,150
2025-07-15T00:30:48.964058,96,150
2025-07-15T00:30:49.063900,113,150
2025-07-15T00:30:49.163833,139,150
2025-07-15T00:30:49.263758,137,150
2025-07-15T00:30:49.363845,48,150
2025-07-15T00:30:49.463925,34,150
2025-07-15T00:30:49.563723,21,150
2025-07-15T00:30:49.663489,0,150
2025-07-15T00:30:49.763779,26,150
2025-07-15T00:30:49.863727,48,150
2025-07-15T00:30:49.963726,61,150
2025-07-15T00:30:50.063692,66,150
2025-07-15T00:30:50.163653,2,150
2025-07-15T00:30:50.263762,16,150
2025-07-15T00:30:50.363636,0,150
2025-07-15T00:30:50.463635,4,150
2025-07-15T00:30:50.563654,51,150
2025-07-15T00:30:50.663570,0,150
2025-07-15T00:30:50.763528,0,150
2025-07-15T00:30:50.863546,0,150
2025-07-15T00:30:50.963665,19,150
2025-07-15T00:30:51.063652,17,150
2025-07-15T00:30:51.163794,28,150
2025-07-15T00:30:51.263762,46,150
2025-07-15T00:30:51.364054,47,150
2025-07-15T00:30:51.463740,58,150
2025-07-15T00:30:51.564044,80,150
2025-07-15T00:30:51.663800,67,150
2025-07-15T00:30:51.763791,62,150
2025-07-15T00:30:51.864089,55,150
2025-07-15T00:30:51.964097,48,150
2025-07-15T00:30:52.064108,55,150
2025-07-15T00:30:52.164120,17,150
2025-07-15T00:30:52.264009,0,150
2025-07-15T00:30:52.363945,0,150
2025-07-15T00:30:52.463699,0,150
2025-07-15T00:30:52.563665,0,150
2025-07-15T00:30:52.664095,64,150
2025-07-15T00:30:52.764236,129,150
2025-07-15T00:30:52.864218,117,150
2025-07-15T00:30:52.964004,0,150
2025-07-15T00:30:53.064004,0,150
2025-07-15T00:30:53.163683,0,150
2025-07-15T00:30:53.264018,0,150
2025-07-15T00:30:53.364007,0,150
2025-07-15T00:30:53.464012,0,150
2025-07-15T00:30:53.563720,0,150
2025-07-15T00:30:53.664018,0,150
2025-07-15T00:30:53.764167,0,150
2025-07-15T00:30:53.864035,0,150
2025-07-15T00:30:53.964030,0,150
2025-07-15T00:30:54.064018,0,150
2025-07-15T00:30:54.164249,0,150
2025-07-15T00:30:54.264137,0,150
2025-07-15T00:30:54.364037,0,150
2025-07-15T00:30:54.464010,0,150
2025-07-15T00:30:54.564030,0,150
2025-07-15T00:30:54.663790,0,150
2025-07-15T00:30:54.764092,0,150
2025-07-15T00:30:54.864061,0,150
2025-07-15T00:30:54.964016,0,150
2025-07-15T00:30:55.064215,0,150
2025-07-15T00:30:55.164041,0,150
2025-07-15T00:30:55.264032,0,150
2025-07-15T00:30:55.364167,0,150
2025-07-15T00:30:55.464099,1502,150
2025-07-15T00:30:55.564312,2033,150
2025-07-15T00:30:55.664257,380,150
2025-07-15T00:30:55.764305,192,150
2025-07-15T00:30:55.864313,869,150
2025-07-15T00:30:55.964389,2751,150
2025-07-15T00:30:56.064330,3184,150
2025-07-15T00:30:56.164315,3961,150
2025-07-15T00:30:56.264321,4095,150
2025-07-15T00:30:56.364145,3869,150
2025-07-15T00:30:56.464347,1309,150
2025-07-15T00:30:56.564309,432,150
2025-07-15T00:30:56.664253,391,150
2025-07-15T00:30:56.764048,437,150
2025-07-15T00:30:56.864024,686,150
2025-07-15T00:30:56.964054,848,150
2025-07-15T00:30:57.064249,1253,150
2025-07-15T00:30:57.164278,1616,150
2025-07-15T00:30:57.264124,934,150
2025-07-15T00:30:57.364263,692,150
2025-07-15T00:30:57.464030,751,150
2025-07-15T00:30:57.564262,761,150
2025-07-15T00:30:57.664276,747,150
2025-07-15T00:30:57.764288,607,150
2025-07-15T00:30:57.864302,546,150
2025-07-15T00:30:57.964295,371,150
2025-07-15T00:30:58.064125,224,150
2025-07-15T00:30:58.164200,75,150
2025-07-15T00:30:58.264153,38,150
2025-07-15T00:30:58.364059,0,150
2025-07-15T00:30:58.464173,0,150
2025-07-15T00:30:58.564090,0,150
2025-07-15T00:30:58.664088,0,150
2025-07-15T00:30:58.764093,0,150
2025-07-15T00:30:58.864197,30,150
2025-07-15T00:30:58.964155,0,150
2025-07-15T00:30:59.064107,0,150
2025-07-15T00:30:59.164095,0,150
2025-07-15T00:30:59.265475,0,150
2025-07-15T00:30:59.364202,16,150
2025-07-15T00:30:59.464192,19,150
2025-07-15T00:30:59.564304,43,150
2025-07-15T00:30:59.664175,55,150
2025-07-15T00:30:59.764203,42,150
2025-07-15T00:30:59.864196,11,150
2025-07-15T00:30:59.964220,0,150
2025-07-15T00:31:00.063940,0,150
2025-07-15T00:31:00.164256,10,150
2025-07-15T00:31:00.264089,0,150
2025-07-15T00:31:00.364189,21,150
2025-07-15T00:31:00.464190,26,150
2025-07-15T00:31:00.564217,46,150
2025-07-15T00:31:00.664202,34,150
2025-07-15T00:31:00.764220,52,150
2025-07-15T00:31:00.864212,62,150
2025-07-15T00:31:00.964233,67,150
2025-07-15T00:31:01.064220,71,150
2025-07-15T00:31:01.164344,64,150
2025-07-15T00:31:01.264198,71,150
2025-07-15T00:31:01.364286,73,150
2025-07-15T00:31:01.464401,64,150
2025-07-15T00:31:01.564313,60,150
2025-07-15T00:31:01.664281,33,150
2025-07-15T00:31:01.764292,16,150
2025-07-15T00:31:01.864141,1,150
2025-07-15T00:31:01.964143,0,150
2025-07-15T00:31:02.064139,0,150
2025-07-15T00:31:02.164126,0,150
2025-07-15T00:31:02.263837,0,150
2025-07-15T00:31:02.364073,0,150
2025-07-15T00:31:02.463857,0,150
2025-07-15T00:31:02.564164,0,150
2025-07-15T00:31:02.664225,0,150
2025-07-15T00:31:02.764171,0,150
2025-07-15T00:31:02.864137,0,150
2025-07-15T00:31:02.964167,0,150
2025-07-15T00:31:03.064470,34,150
2025-07-15T00:31:03.164281,96,150
2025-07-15T00:31:03.264156,117,150
2025-07-15T00:31:03.364337,133,150
2025-07-15T00:31:03.464327,159,150
2025-07-15T00:31:03.564324,194,150
2025-07-15T00:31:03.664160,208,150
2025-07-15T00:31:03.764322,225,150
2025-07-15T00:31:03.864340,221,150
2025-07-15T00:31:03.964331,197,150
2025-07-15T00:31:04.064338,163,150
2025-07-15T00:31:04.164118,65,150
2025-07-15T00:31:04.264276,0,150
2025-07-15T00:31:04.363879,0,150
2025-07-15T00:31:04.464173,0,150
2025-07-15T00:31:04.564179,0,150
2025-07-15T00:31:04.664159,0,150
2025-07-15T00:31:04.764228,0,150
2025-07-15T00:31:04.863863,0,150
2025-07-15T00:31:04.964188,0,150
2025-07-15T00:31:05.064184,0,150
2025-07-15T00:31:05.163878,0,150
2025-07-15T00:31:05.264230,0,150
2025-07-15T00:31:05.364197,0,150
2025-07-15T00:31:05.464189,0,150
2025-07-15T00:31:05.563919,0,150
2025-07-15T00:31:05.664172,0,150
2025-07-15T00:31:05.764175,0,150
2025-07-15T00:31:05.864201,0,150
2025-07-15T00:31:05.964328,400,150
2025-07-15T00:31:06.064097,828,150
2025-07-15T00:31:06.164440,1226,150
2025-07-15T00:31:06.264260,1757,150
2025-07-15T00:31:06.364267,2521,150
2025-07-15T00:31:06.464260,3280,150
2025-07-15T00:31:06.564439,4095,150
2025-07-15T00:31:06.664462,4095,150
2025-07-15T00:31:06.764441,4095,150
2025-07-15T00:31:06.864373,450,150
2025-07-15T00:31:06.964468,347,150
2025-07-15T00:31:07.064384,416,150
2025-07-15T00:31:07.164372,546,150
2025-07-15T00:31:07.264355,655,150
2025-07-15T00:31:07.364352,718,150
2025-07-15T00:31:07.464118,788,150
2025-07-15T00:31:07.564358,759,150
2025-07-15T00:31:07.664335,749,150
2025-07-15T00:31:07.764525,602,150
2025-07-15T00:31:07.864515,399,150
2025-07-15T00:31:07.964363,162,150
2025-07-15T00:31:08.064192,0,150
2025-07-15T00:31:08.164273,0,150
2025-07-15T00:31:08.264070,0,150
2025-07-15T00:31:08.364050,0,150
2025-07-15T00:31:08.464060,0,150
2025-07-15T00:31:08.564079,0,150
2025-07-15T00:31:08.664285,0,150
2025-07-15T00:31:08.764107,0,150
2025-07-15T00:31:08.864278,0,150
2025-07-15T00:31:08.964130,0,150
2025-07-15T00:31:09.064307,0,150
2025-07-15T00:31:09.164278,0,150
2025-07-15T00:31:09.264284,0,150
2025-07-15T00:31:09.364358,0,150
2025-07-15T00:31:09.464276,0,150
2025-07-15T00:31:09.564440,0,150
2025-07-15T00:31:09.664278,0,150
2025-07-15T00:31:09.764283,0,150
2025-07-15T00:31:09.864375,0,150
2025-07-15T00:31:09.964272,1,150
2025-07-15T00:31:10.064418,33,150
2025-07-15T00:31:10.164324,14,150
2025-07-15T00:31:10.264318,71,150
2025-07-15T00:31:10.364324,83,150
2025-07-15T00:31:10.464336,75,150
2025-07-15T00:31:10.564426,128,150
2025-07-15T00:31:10.664313,98,150
